"regionID";"constellationID";"solarSystemID";"solarSystemName";"x";"y";"z";"xMin";"xMax";"yMin";"yMax";"zMin";"zMax";"luminosity";"border";"fringe";"corridor";"hub";"international";"regional";"constellation";"security";"factionID";"radius";"sunTypeID";"securityClass"
"10000001";"20000001";"30000001";"Tanoo";"-8.8510792599980576E+16";"4.236944396687888E+16";"4.4513525346479664E+16";"-8.8511903148490592E+16";"-8.8509256471760624E+16";"4.2369297927489072E+16";"4.236964574926392E+16";"4.4513036355892816E+16";"4.451411168978288E+16";"0.01575";"True";"False";"False";"True";"True";"True";"True";"0.85832406884846812";"";"1323338364984";"3802";"B"
"10000001";"20000001";"30000002";"Lashesih";"-1.0330096826312646E+17";"4.1707503568269944E+16";"2.9856304129795088E+16";"-1.0330156508982766E+17";"-1.0329952828984021E+17";"4.1707467566727784E+16";"4.170759041342664E+16";"2.985617328250696E+16";"2.9856912011988012E+16";"0.01282";"True";"False";"True";"False";"True";"True";"True";"0.75168914669798714";"";"1018399993728";"3798";"B"
"10000001";"20000001";"30000003";"Akpivem";"-9.1174141133075344E+16";"4.3938227486247168E+16";"5.6482824383339904E+16";"-9.1178287363603456E+16";"-9.1173340638605184E+16";"4.3938185719395264E+16";"4.393844419338044E+16";"5.648126753791048E+16";"5.6483655715390536E+16";"0.62129999999999996";"True";"False";"False";"True";"False";"False";"True";"0.84629235242672629";"";"2473362499136";"3799";"B"
"10000001";"20000001";"30000004";"Jark";"-9.3675926352178928E+16";"5.0604244962328912E+16";"2.8403529106921656E+16";"-9.367738208504472E+16";"-9.3675486150896624E+16";"5.0604201734808696E+16";"5.0604387914744944E+16";"2.8403308300704916E+16";"2.8406851125344312E+16";"0.34610000000000002";"True";"False";"True";"False";"True";"True";"True";"0.81700053122872651";"";"1771412319698";"6";"B"
"10000001";"20000001";"30000005";"Sasta";"-9.47821579619976E+16";"4.3126247352903336E+16";"3.1896707679917976E+16";"-9.4782866241535488E+16";"-9.4777738348823664E+16";"4.3126190605720824E+16";"4.3126597636738808E+16";"3.1892607357474004E+16";"3.1896947011688972E+16";"2.4029999999999999E-2";"True";"False";"False";"True";"False";"False";"True";"0.81433672810123381";"";"2563946355912";"3800";"B"
"10000001";"20000001";"30000006";"Zaid";"-8.4792151138856224E+16";"5.2313455798179328E+16";"5.7073934529882272E+16";"-8.4793773315320032E+16";"-8.479030443144408E+16";"5.2313243548626296E+16";"5.2313642323673984E+16";"5.7073253488129384E+16";"5.7075591223245872E+16";"0.02324";"True";"False";"True";"False";"False";"False";"True";"0.86422915339628437";"";"1734441937976";"7";"B"
"10000001";"20000001";"30000007";"Yuzier";"-9.0367509013110176E+16";"5.3447700930943336E+16";"4.9040399037769856E+16";"-9.0368455589897712E+16";"-9.03658609773416E+16";"5.3447587319198248E+16";"5.344789849447612E+16";"4.9039836463312752E+16";"4.904066984378296E+16";"0.01469";"False";"False";"False";"True";"False";"False";"False";"0.9065555104696007";"";"1297306278056";"3800";"B"
"10000001";"20000001";"30000008";"Nirbhi";"-9.157610353638848E+16";"5.7332802739327744E+16";"5.5255057964526304E+16";"-9.157953430226768E+16";"-9.1574341925251088E+16";"5.733277589050188E+16";"5.733281652273388E+16";"5.5252219447897216E+16";"5.5259653044695464E+16";"3.9809999999999998E-2";"True";"False";"False";"True";"False";"False";"True";"0.88211571476301831";"";"3716798399124";"3800";"B"
"10000001";"20000002";"30000009";"Sooma";"-8.4094731140215216E+16";"6.9205928804160688E+16";"7.5226052138828816E+16";"-8.4095782483213088E+16";"-8.4092995295928064E+16";"6.9205920050711712E+16";"6.9205943271846104E+16";"7.5225464050781488E+16";"7.5229135709334864E+16";"1.4789999999999999E-2";"False";"True";"False";"False";"False";"False";"False";"0.57781948156321017";"";"1835829276688";"3800";"B1"
"10000001";"20000002";"30000010";"Chidah";"-8.0588856520120752E+16";"6.1645557287376784E+16";"7.9770931668461888E+16";"-8.0590207811444224E+16";"-8.058453928518488E+16";"6.1645378830638632E+16";"6.164612743722404E+16";"7.9769194381150512E+16";"7.9772810227654784E+16";"7.4980000000000005E-2";"False";"False";"False";"True";"False";"False";"False";"0.53905201300308869";"";"2834263129672";"8";"B1"
